Pytanie,Twoja odpowiedź,Poprawna odpowiedź,Wynik
Jak rozwiązać układ równań liniowych w Pythonie przy użyciu NumPy?,d,b,Błędnie
"Jaki jest wynik rozwiązania układu równań:
2x - 3y + z = 1
4x + y - 2z = -2
-3x + 2y + 3z = 3",b,a,Błędnie
Która metoda całkowania numerycznego wykorzystuje wielomian stopnia 0 do przybliżenia funkcji podcałkowej?,a,b,Błędnie
"Jak nazywa się metoda całkowania numerycznego, która dzieli przedział całkowania na podprzedziały i sumuje przybliżenia na każdym z nich?",c,a,Błędnie
Która z poniższych nazw jest alternatywną nazwą metody prostokątów?,b,a,Błędnie
W jaki sposób można zwiększyć dokładność metody trapezów?,b,b,Poprawnie
Który wzór przedstawia metodę trapezów?,b,b,Poprawnie
Metoda trapezów wykorzystuje do przybliżenia funkcji podcałkowej wielomian stopnia:,d,b,Błędnie
Kiedy metoda prostokątów daje dobre przybliżenie wartości całki?,b,b,Poprawnie
"W jakim zastosowaniu, według tekstu, konieczne jest implementowanie numerycznego całkowania?",a,c,Błędnie
